artists_name,name,genres,release_year,popularity
Boz Scaggs,What Can I Say,folk,1997.0,62.0
Joni Mitchell,Both Sides Now,folk,2000.0,61.0
Bob Dylan,"The Times They Are A-Changin' - Live at Sony Music Studios, New York, NY - November 1994",folk,1995.0,59.0
Ryan Adams,Come Pick Me Up,folk,2000.0,58.0
James Taylor,October Road,folk,2000.0,58.0
Steve Earle,The Galway Girl,folk,2000.0,57.0
Dusty Springfield,Spooky,folk,1998.0,56.0
Ryan Adams,Oh My Sweet Carolina,folk,2000.0,55.0
Todd Rundgren,Hello It's Me,folk,1997.0,47.0
Simon & Garfunkel,Cecilia,folk,1999.0,47.0
Joni Mitchell,Urge for Going,folk,1996.0,47.0
The Hollies,The Air That I Breathe,folk,1993.0,44.0
Joni Mitchell,I Wish I Were In Love Again,folk,2000.0,43.0
Joni Mitchell,At Last,folk,2000.0,42.0
Joni Mitchell,A Case Of You,folk,2000.0,41.0
Joni Mitchell,Comes Love,folk,2000.0,41.0
Linda Ronstadt,Frenesi (Frenzy),folk,1992.0,39.0
Gerry Rafferty,Baker Street - Edit,folk,1998.0,38.0
Bob Dylan,Dirt Road Blues,folk,1997.0,36.0
Bob Dylan,The Times They Are A-Changin' - Witmark Demo - 1963,folk,1991.0,36.0
Joni Mitchell,The Magdalene Laundries,folk,1994.0,33.0
John Prine,Angel from Montgomery,folk,2000.0,33.0
Joni Mitchell,Not To Blame,folk,1994.0,31.0
Bob Dylan,Delia,folk,1993.0,29.0
Harry Nilsson,"Everybody's Talkin' - From ""Midnight Cowboy""",folk,1995.0,28.0
Bob Dylan,Frankie & Albert,folk,1992.0,27.0
Linda Ronstadt,Ta Ta Dios (Father God),folk,1991.0,18.0
