artists_id,acousticness,danceability,disc_number,duration_ms,energy,href,id,instrumentalness,key,liveness,loudness,lyrics,mode,name,playlist,preview_url,speechiness,tempo,time_signature,track_href,uri,valence,release_date,artists_name,genres,release_year
46njgd2Rq9tZc4ZjeQMgbh,0.054,0.737,1.0,179533.0,0.443,https://api.spotify.com/v1/tracks/1bDjowPMtoft6kd33wUkof,1bDjowPMtoft6kd33wUkof,0.00614,7.0,0.0673,-12.171,"
(What can I say?)
(What can I do?)
3 AM, it's me again, wouldn't you know?
Things would have to end this way
I did my best the perfect guest knew when to go
Perfect you knew when to stay
Come on, tell me that you love me, dear
I've been feeling down some too
After all, it's time I made it clear
I've been waiting just for you
(What can I say?) Oh, you make me know, baby
(What can I do?) To show you that I care
(What can I say?) Got to have your number, baby
(What can I do?)
Dodododo....
Can't you see the people who stop and stare
Don't it make you wonder why?
I just happened to be standing there
Can't you see it in my eye?
(What can I say?) You got me acting like a fool, girl
(What can I do?) Stop making like a little school, girl
(What can I say?) Could be your lucky day, baby
(What can I do?)
Ooooh, it's hot
Ooohooo, it's hot, little girl
Ooooooo talking girl
(What can I say?) Oh, you make me know, baby
(What can I do?) To show you that I care
(What can I say?) Oh, I got down on my knees
(What can I do?)
Please, please, what can I say?
(What can I do?)
(What can I do?) Oooh, what can I do
(What can I say?) What can I say, baby?
(What can I say?)
",1.0,What Can I Say,Soulful Disco,https://p.scdn.co/mp3-preview/87150746e646c5150c17c55d883dc1240411cacd?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0331,115.16,4.0,https://api.spotify.com/v1/tracks/1bDjowPMtoft6kd33wUkof,1bDjowPMtoft6kd33wUkof,0.815,1997,Boz Scaggs,folk,1997.0
5hW4L92KnC6dX9t7tYM4Ve,0.868,0.258,1.0,345400.0,0.139,https://api.spotify.com/v1/tracks/1pjATX7sbd6Y4jMVqIvzHk,1pjATX7sbd6Y4jMVqIvzHk,0.00149,2.0,0.1,-13.522,"


Rows and flows of angel hair
And ice cream castles in the air
And feather canyons everywhere
I've looked at clouds that way
But now they only block the sun
They rain and they snow on everyone
So many things I would have done
But clouds got in my way

I've looked at clouds from both sides now
From up and down, and still somehow
It's cloud illusions I recall
I really don't know clouds at all

Moons and Junes and Ferris wheels
The dizzy dancing way that you feel
As every fairy tale comes real
I've looked at love that way
But now it's just another show
And you leave 'em laughing when you go
And if you care, don't let them know
Don't give yourself away

I've looked at love from both sides now
From give and take, and still somehow
It's love's illusions that I recall
I really don't know love
I really don’t know love at all

Tears and fears and feeling proud
To say ""I love you"" right out loud
Dreams and schemes and circus crowds
I've looked at life that way
Oh, but now old friends they’re acting strange
And they shake their heads, and they tell me that I've changed
Well something's lost but something's gained
In living every day

I've looked at life from both sides now
From win and lose and still somehow
It's life's illusions I recall
I really don't know life
At all

It's life's illusions that I recall
I really don't know life
I really don’t know life at all
",1.0,Both Sides Now,Katie Couric,https://p.scdn.co/mp3-preview/aa20d694c9af36089f24379e2413aff8a3404fe2?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0317,77.995,4.0,https://api.spotify.com/v1/tracks/1pjATX7sbd6Y4jMVqIvzHk,1pjATX7sbd6Y4jMVqIvzHk,0.139,2000-03-20,Joni Mitchell,folk,2000.0
74ASZWbe4lXaubB36ztrGX,0.63,0.393,1.0,348560.0,0.416,https://api.spotify.com/v1/tracks/32gGuJXlLJbKCk3MDfW53y,32gGuJXlLJbKCk3MDfW53y,0.00791,9.0,0.986,-13.243,"

I'm only pretty sure that I can't take anymore
Before you take a swing
I wonder what are we fighting for
When I say out loud
""I want to get out of this""
I wonder is there anything
I'm going to miss

I wonder how it's going to be
When you don't know me
How's it going to be
When you're sure I'm not there
How's it going to be
When there's no one there to talk to
Between you and me
'Cause I don't care
How's it going to be
How's it going to be

Where we used to laugh
There's a shouting match
Sharp as a thumbnail scratch
A silence I can't ignore
Like the hammock by the
Doorway we spent time in, swings empty
Don't see lightning like last fall
When it was always about to hit me

I wonder how's it going to be
When it goes down
How's it going to be
When you're not around
How's it going to be
When you found out there was nothing
Between you and me
Cause I don't care
How's it going to be
How's it going to be

And how's it going to be
When you don't know me anymore
And how's it going to be
Want to get myself back in again
The soft dive of oblivion
I want to taste the salt of your skin
The soft dive of oblivion (Oblivion)

How's it going to be
When you don't know me anymore
How's it going to be?
How's it going to be?
",1.0,"The Times They Are A-Changin' - Live at Sony Music Studios, New York, NY - November 1994",90s Acoustic,https://p.scdn.co/mp3-preview/945c803906c8ba2a13d2139bf258f814e62bbce2?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0401,163.604,3.0,https://api.spotify.com/v1/tracks/32gGuJXlLJbKCk3MDfW53y,32gGuJXlLJbKCk3MDfW53y,0.512,1995-04-25,Bob Dylan,folk,1995.0
2qc41rNTtdLK0tV3mJn2Pm,0.0702,0.594,1.0,318333.0,0.262,https://api.spotify.com/v1/tracks/0lngUitwRDbvZ5yVO76dVN,0lngUitwRDbvZ5yVO76dVN,0.00269,10.0,0.256,-10.573,"

When they call your name
Will you walk right up
With a smile on your face?
Will you cower in fear?
In your favorite sweater
With an old love letter

I wish you would
I wish you would

Come pick me up
Take me out
Fuck me up
Steal my records
Screw all my friends
They're all full of shit
With a smile on your face
And then do it again
I wish you would

When you're walking down town
Do you wish I was there?
Do you wish it was me?
With the windows clear
And the mannequins eyes
Do they all look like mine?

You know you could
I wish you would

Come pick me up
Take me out
Fuck me up
Steal my records
Screw all my friends
Behind my back
With a smile on your face
And then do it again
I wish you would

I wish you'd make up my bed
So I could make up my mind
Try it for sleeping instead
Maybe you'll rest sometime
I wish I could
I wish I could
I wish I could
",1.0,Come Pick Me Up,Roots Revival,https://p.scdn.co/mp3-preview/81bb71572a63fa1092555bdc50b3fccc27e14398?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0341,123.518,4.0,https://api.spotify.com/v1/tracks/0lngUitwRDbvZ5yVO76dVN,0lngUitwRDbvZ5yVO76dVN,0.216,2000-09-05,Ryan Adams,folk,2000.0
0vn7UBvSQECKJm2817Yf1P,0.502,0.694,1.0,236667.0,0.51,https://api.spotify.com/v1/tracks/0nILp5SpecXFvJQotZe48y,0nILp5SpecXFvJQotZe48y,0.128,4.0,0.112,-10.804,"

Well I'm-a going back down maybe one more time
Deep down home, October road
And I might like to see that little friend of mine
That I left behind once upon a time
Oh, promised land and me still standing
It's a test of time, it's a real good sign

Let the sun run down right behind the hill
I know how to stand there still
'Till the moon rise up behind the pine, oh Lord
October road
October road
October road

It's the big-time life that I can't abide
Raise my rent, tan my hide
Sweet call of the countryside
Go down slow, open wide
I did my time and it changed my mind
I'm satisfied, oh

(I got so)
I got so low down, fed up, my God, I could hardly move
(I could hardly move)
Won't you come on, my brother
Get on up
(Yeah)
And help me find my groove

Keep me walking, October road
Keep me walking in the sunshine, yeah
A little friend of mine
October road
Help me now
October road
Ohhohh
",1.0,October Road,Easy On Sunday,https://p.scdn.co/mp3-preview/2fee09555fd4e1b3a2713ad3de12f8f6f49fc281?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0355,144.947,3.0,https://api.spotify.com/v1/tracks/0nILp5SpecXFvJQotZe48y,0nILp5SpecXFvJQotZe48y,0.384,2000,James Taylor,folk,2000.0
2UBTfUoLI07iRqGeUrwhZh,0.24,0.421,1.0,185000.0,0.946,https://api.spotify.com/v1/tracks/1KnilWyiAb1Jwa9QJXZGMN,1KnilWyiAb1Jwa9QJXZGMN,0.00255,2.0,0.504,-5.101,"
Well, I took a stroll on the old long walk
Of a day-i-ay-i-ay
I met a little girl and we stopped to talk
Of a fine soft day-i-ay
And I ask you, friend, what's a fella to do
Because her hair was black and her eyes were blue
And I knew right then I'd be taking a whirl
Around the Salthill prom with a Galway girl
We were halfway there when the rain came down
Of a day-i-ay-i-ay
And she asked me up to her flat down town
Of a fine soft day-i-ay
And I ask you, friend, what's a fella to do
Because her hair was black and her eyes were blue
So I took her hand and I gave her a twirl
And I lost my heart to a Galway girl
When I woke up I was all alone
With a broken heart and a ticket home
And I ask you now, tell me what would you do
If her hair was black and her eyes were blue
'Cause I've traveled around, I've been all over this world
Boys I ain't never seen nothing like a Galway girl
",1.0,The Galway Girl,Alt Country Classics,https://p.scdn.co/mp3-preview/d3db830e29503b9118b09be99cd96124107f0ad6?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0767,169.712,4.0,https://api.spotify.com/v1/tracks/1KnilWyiAb1Jwa9QJXZGMN,1KnilWyiAb1Jwa9QJXZGMN,0.848,2000-06-06,Steve Earle,folk,2000.0
5zaXYwewAXedKNCff45U5l,0.518,0.683,1.0,155133.0,0.708,https://api.spotify.com/v1/tracks/1683Q5FUEQ4fIG2f87MAW4,1683Q5FUEQ4fIG2f87MAW4,2.08e-05,4.0,0.175,-6.852,"

In the cool of the evening
When everything is gettin' kind of groovy
You call me up and ask me
Would I like to go with you and see a movie
First I say no, I've got some plans for the night
And then I stop
And say ""all right""
Love is kinda crazy with a spooky little boy like you

You always keep me guessin'
I never seem to know what you are thinking
And if a girl looks at you
It's for sure your little eye will be a-winkin'
I get confused, I never know where I stand
And then you smile
And hold my hand
Love is kinda crazy with a spooky little boy like you
Spooky

If you decide someday to stop this little game that you are playing
I'm gonna tell you all the things my heart's been a-dyin' to be saying
Just like a ghost you've been a-hauntin' my dreams
But now I know
You're not what you seem
Love is kinda crazy with a spooky little boy like you

Spooky, spooky, oh whoa, all right
Spooky, oh yea yea
I said Spooky yea yea
",0.0,Spooky,Guys We F@#ked with Krystyna Hutchinson & Corinne Fisher,https://p.scdn.co/mp3-preview/1e13edcb5b20028b4a5f4bfe7172f0cfeeef9f29?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0289,106.446,4.0,https://api.spotify.com/v1/tracks/1683Q5FUEQ4fIG2f87MAW4,1683Q5FUEQ4fIG2f87MAW4,0.969,1998,Dusty Springfield,folk,1998.0
2qc41rNTtdLK0tV3mJn2Pm,0.523,0.491,1.0,297333.0,0.117,https://api.spotify.com/v1/tracks/2Zcr8xMMZyNT5wMsj3SWmw,2Zcr8xMMZyNT5wMsj3SWmw,4.86e-06,2.0,0.0934,-14.791,"

I went down to Houston and I stopped in San Antone
I passed up the station for the bus
I was trying to find me something
But I wasn't sure just what
Man I ended up with pockets full of dust
So I went on to Cleveland and I ended up insane
I bought a borrowed suit and learned to dance
And I was spending money like the way it likes to rain
Man I ended up with pockets full of cane

Oh my sweet Carolina
What compels me to go
Oh my sweet disposition
May you one day carry me home

I ain't never been to Vegas but I gambled up my life
Building newsprint boats I race to sewer mains
Trying to find me something but I wasn't sure just what
Funny how they say that some things never change

Oh my sweet Carolina
What compels me to go
Oh my sweet disposition
May you one day carry me home


Up here in the city it feels like things are closing in
The sunset's just my light bulb burning out
I miss Kentucky and I miss my family
All the sweetest winds they blow across the south

Oh my sweet Carolina
What compels me to go
Oh my sweet disposition
May you one day carry me home
May you one day carry me home
",1.0,Oh My Sweet Carolina,Americana Roadtrip,https://p.scdn.co/mp3-preview/c9abd728b4baca577d8de68209e0cc863c242acd?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0394,131.806,4.0,https://api.spotify.com/v1/tracks/2Zcr8xMMZyNT5wMsj3SWmw,2Zcr8xMMZyNT5wMsj3SWmw,0.27,2000-09-05,Ryan Adams,folk,2000.0
0Lpr5wXzWLtDWm1SjNbpPb,0.0563,0.578,1.0,264093.0,0.848,https://api.spotify.com/v1/tracks/2ckXnzyvgva2oE9FWjb405,2ckXnzyvgva2oE9FWjb405,0.00426,5.0,0.0963,-6.842,"
2,3 ... 1, 2, 3 ... 1, ah 2,, ah 1, 2, 3

Hello, it's me
I've thought about us for a long, long time
Maybe I think too much but something's wrong
There's something here that doesn't last too long
Maybe I shouldn't think of you as mine

Seeing you
Or seeing anything as much as I do you
I take for granted that you're always there
I take for granted that you just don't care
Sometimes I can't help seeing all the way through

It's important to me
That you know you are free
'Cause I never want to make you change for me

Think of me
You know that I'd be with you if I could
I'll come around to see you once in a while
Or if I ever need a reason to smile
And spend the night if you think I should

It's important to me
That you know you are free
'Cause I never want to make you change for me

Think of me
You know that I'd be with you if I could
I'll come around to see you once in a while
Or if I ever need a reason to smile
And spend the night if you think I should

Think of me, think of me, think of me
Think of me, think of me, think of me
Think of me, think of me, think of me
Think of me, think of me, think of me
Think of me, think of me, think of me
Think of me, think of me, think of me
Think of me, think of me, think of me
",1.0,Hello It's Me,Digitando...,https://p.scdn.co/mp3-preview/8c434a03b4f175af93b61cf85162f09422b8e3be?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0261,87.246,4.0,https://api.spotify.com/v1/tracks/2ckXnzyvgva2oE9FWjb405,2ckXnzyvgva2oE9FWjb405,0.779,1997-07-29,Todd Rundgren,folk,1997.0
70cRZdQywnSFp9pnc2WTCE,0.407,0.757,1.0,174667.0,0.859,https://api.spotify.com/v1/tracks/3fXaVIXlG8Eu7Xq9xa8tw2,3fXaVIXlG8Eu7Xq9xa8tw2,1.29e-05,4.0,0.133,-9.621,"

I took my love and I took it down
I climbed a mountain and I turned around
And I saw my reflection in the snow-covered hills
Till the landslide brought me down
Oh, mirror in the sky
What is love?
Can the child within my heart rise above?
Can I sail through the changing ocean tides?
Can I handle the seasons of my life?
Hmmmm

Well, I've been afraid of changing
'Cause I've built my life around you
But time makes you bolder
Even children get older
I'm getting older too

Well, I've been afraid of changing
'Cause I've built my life around you
But time makes you bolder
Even children get older
And I'm getting older too
Oh, I'm getting older too

I took my love, I took it down
Oh if you climb a mountain and turned around
And If you see my reflection in the snow-covered hills
Well the landslide will bring you down
And If you see my reflection in the snow covered hills
Well the landslide will bring you down
Oh, the landslide will bring it down
",0.0,Cecilia,Yacht Rock,https://p.scdn.co/mp3-preview/7a125855754344df1c3baecd4d34b2b7a7b1b0be?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0347,102.758,4.0,https://api.spotify.com/v1/tracks/3fXaVIXlG8Eu7Xq9xa8tw2,3fXaVIXlG8Eu7Xq9xa8tw2,0.954,1999-08-01,Simon & Garfunkel,folk,1999.0
